,descriptor_normalised,source,source_count
0,absinthe,{'goodscents'},1
1,absolute,{'goodscents'},1
2,acacia,{'goodscents'},1
3,acetaldehyde,{'goodscents'},1
4,acetic,"{'aromadb', 'goodscents'}",2
5,acetone,{'goodscents'},1
6,acid,"{'aromadb', 'arctander_1960', 'flavornet'}",3
7,acidic,"{'ifra_2019', 'goodscents'}",2
8,acorn,{'goodscents'},1
9,acrylate,{'goodscents'},1
10,agarwood,{'goodscents'},1
11,alcohol,"{'sigma_2014', 'flavornet'}",2
12,alcoholic,"{'aromadb', 'dravnieks_1985', 'leffingwell', 'goodscents'}",4
13,aldehydic,"{'arctander_1960', 'leffingwell', 'ifra_2019', 'goodscents'}",4
14,algae,{'goodscents'},1
15,alkaline,{'flavornet'},1
16,alkane,"{'flavornet', 'goodscents'}",2
17,alliaceous,"{'sigma_2014', 'leffingwell', 'goodscents'}",3
18,alliaceous (onion,{'sigma_2014'},1
19,allspice,{'goodscents'},1
20,almond,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",8
21,almond bitter almond,{'goodscents'},1
22,almond roasted almond,{'goodscents'},1
23,almond shell,{'flavornet'},1
24,almond toasted almond,{'goodscents'},1
25,almost odorless,{'goodscents'},1
26,amber,"{'ifra_2019', 'goodscents'}",2
27,ambergris,{'goodscents'},1
28,ambre,{'arctander_1960'},1
29,ambrette,{'goodscents'},1
30,amine,"{'flavornet', 'goodscents'}",2
31,ammonia,"{'aromadb', 'dravnieks_1985', 'goodscents'}",3
32,ammoniacal,{'goodscents'},1
33,angelica,{'goodscents'},1
34,animal,"{'sigma_2014', 'leffingwell', 'goodscents', 'dravnieks_1985', 'arctander_1960'}",5
35,animal like,{'ifra_2019'},1
36,anise,"{'sigma_2014', 'flavornet', 'goodscents'}",3
37,"anise, licorice",{'dravnieks_1985'},1
38,aniseed,{'aromadb'},1
39,anisic,"{'arctander_1960', 'leffingwell', 'ifra_2019', 'goodscents'}",4
40,apple,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
41,apple cooked apple,{'goodscents'},1
42,apple dried apple,{'goodscents'},1
43,apple green apple,{'goodscents'},1
44,apple peel,{'flavornet'},1
45,apple skin,{'goodscents'},1
46,"apple, fruit",{'dravnieks_1985'},1
47,"apple, rose",{'flavornet'},1
48,apricot,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
49,armoise,{'goodscents'},1
50,aromatic,"{'leffingwell', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'ifra_2019'}",5
51,arrack,{'goodscents'},1
52,artemisia,{'ifra_2019'},1
53,artichoke,{'goodscents'},1
54,asparagus,{'goodscents'},1
55,astringent,{'goodscents'},1
56,autumn,{'goodscents'},1
57,bacon,{'goodscents'},1
58,baked,"{'flavornet', 'goodscents'}",2
59,bakery (fresh bread),{'dravnieks_1985'},1
60,balsam,"{'sigma_2014', 'goodscents'}",2
61,balsamic,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
62,banana,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",8
63,banana peel,{'goodscents'},1
64,banana ripe banana,{'goodscents'},1
65,banana unripe banana,{'goodscents'},1
66,"bark,birchbark",{'dravnieks_1985'},1
67,barley roasted barley,{'goodscents'},1
68,basil,"{'flavornet', 'goodscents'}",2
69,bay,{'goodscents'},1
70,bayleaf,{'ifra_2019'},1
71,bean green bean,{'goodscents'},1
