CID,IsomericSMILES,Descriptors,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
70,CC(C)CC(=O)C(=O)O,['fruity'],0,0,0,0,0,1,0,0,0,0,0
107,C1=CC=C(C=C1)CCC(=O)O,"['flower', 'spices', 'savory', 'animal']",0,1,0,0,1,0,0,0,1,1,0
119,C(CC(=O)O)CN,['savory'],0,0,0,0,0,0,0,0,1,0,0
125,C1=CC(=CC=C1CO)O,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
126,C1=CC(=CC=C1C=O)O,"['herbal', 'savory', 'aquatic']",0,0,1,0,0,0,0,1,1,0,0
129,CC(C)CCC=O,"['herbal', 'savory', 'fruity']",0,0,0,0,0,1,0,1,1,0,0
174,C(CO)O,['animal'],0,1,0,0,0,0,0,0,0,0,0
180,CC(=O)C,"['aquatic', 'fruity']",0,0,1,0,0,1,0,0,0,0,0
196,C(CCC(=O)O)CC(=O)O,['herbal'],0,0,0,0,0,0,0,1,0,0,0
243,C1=CC=C(C=C1)C(=O)O,"['herbal', 'savory']",0,0,0,0,0,0,0,1,1,0,0
261,CCCC=O,"['green', 'savory', 'animal', 'fruity']",0,1,0,0,0,1,1,0,1,0,0
262,CC(C(C)O)O,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
263,CCCCO,"['savory', 'alcohol', 'fruity']",1,0,0,0,0,1,0,0,1,0,0
289,C1=CC=C(C(=C1)O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
308,C1=CC=C(C=C1)C=CCO,"['flower', 'spices', 'savory', 'green']",0,0,0,0,1,0,1,0,1,1,0
323,C1=CC=C2C(=C1)C=CC(=O)O2,"['green', 'herbal', 'savory']",0,0,0,0,0,0,1,1,1,0,0
326,CC(C)C1=CC=C(C=C1)C=O,"['green', 'herbal', 'savory', 'animal']",0,1,0,0,0,0,1,1,1,0,0
332,COC1=C(C=CC(=C1)C=C)O,"['spices', 'savory']",0,0,0,0,0,0,0,0,1,1,0
338,C1=CC=C(C(=C1)C(=O)O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
379,CCCCCCCC(=O)O,"['fruity', 'savory', 'animal']",0,1,0,0,0,1,0,0,1,0,0
402,S,['savory'],0,0,0,0,0,0,0,0,1,0,0
441,CC(CC(=O)O)O,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
454,CCCCCCCC=O,"['savory', 'fruity', 'green', 'herbal', 'aquatic']",0,0,1,0,0,1,1,1,1,0,0
460,COC1=CC=CC=C1O,['savory'],0,0,0,0,0,0,0,0,1,0,0
473,CSCCC(=O)C(=O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
525,C(C(C(=O)O)O)C(=O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,['flower'],0,0,0,0,1,0,0,0,0,0,0
612,CC(C(=O)O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
660,C1CC(=O)OC2=CC=CC=C21,"['spices', 'herbal', 'savory', 'fruity']",0,0,0,0,0,1,0,1,1,1,0
679,CS(=O)C,['savory'],0,0,0,0,0,0,0,0,1,0,0
701,CCOC(=O)C(C)C(=O)C,"['green', 'alcohol', 'fruity']",1,0,0,0,0,1,1,0,0,0,0
768,C#N,['savory'],0,0,0,0,0,0,0,0,1,0,0
784,OO,['aquatic'],0,0,1,0,0,0,0,0,0,0,0
798,C1=CC=C2C(=C1)C=CN2,"['flower', 'savory', 'animal']",0,1,0,0,1,0,0,0,1,0,0
876,CSCCC(C(=O)O)N,['savory'],0,0,0,0,0,0,0,0,1,0,0
878,CS,['savory'],0,0,0,0,0,0,0,0,1,0,0
880,CC(=O)C=O,"['savory', 'alcohol', 'aquatic']",1,0,1,0,0,0,0,0,1,0,0
931,C1=CC=C2C=CC=CC2=C1,['herbal'],0,0,0,0,0,0,0,1,0,0,0
