CID,IsomericSMILES,Descriptors,Alcohol,Animal Body,Aquatic,Balsamic,Chemicals,Earthy,Flower,Fruity,Gourmand,Green,Herbal,Savory,Smoky,Spices,Sulfur,Woody
4,CC(CN)O,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,CC(C)C(=O)C(=O)O,['Fruity'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,CCC(=O)C(=O)O,"['Savory', 'Woody', 'Gourmand']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
70,CC(C)CC(=O)C(=O)O,['Fruity'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,C1=CC(=C(C=C1C(=O)O)O)O,"['Chemicals', 'Balsamic']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
98,C(C(=O)C(=O)O)S,"['Savory', 'Sulfur']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
101,C1=CC(=CC(=C1)O)C=O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,C1=CC=C(C=C1)CCC(=O)O,"['Flower', 'Balsamic', 'Savory', 'Spices', 'Gourmand', 'Animal Body']",0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
119,C(CC(=O)O)CN,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,C1=CC(=CC=C1CO)O,"['Chemicals', 'Fruity', 'Gourmand']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
126,C1=CC(=CC=C1C=O)O,"['Chemicals', 'Balsamic', 'Woody', 'Gourmand', 'Green']",0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
129,CC(C)CCC=O,"['Savory', 'Fruity', 'Green', 'Gourmand']",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
135,C1=CC(=CC=C1C(=O)O)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,C(CO)O,['Earthy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,CC(=O)O,"['Savory', 'Alcohol']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
177,CC=O,"['Alcohol', 'Fruity', 'Earthy', 'Chemicals']",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
179,CC(C(=O)C)O,"['Savory', 'Fruity', 'Woody', 'Gourmand']",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
180,CC(=O)C,"['Alcohol', 'Fruity', 'Chemicals']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
196,C(CCC(=O)O)CC(=O)O,['Herbal'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
222,N,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,C1=CC=C(C=C1)C=O,"['Alcohol', 'Smoky', 'Fruity', 'Gourmand']",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
241,C1=CC=CC=C1,"['Savory', 'Sulfur']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
243,C1=CC=C(C=C1)C(=O)O,"['Green', 'Gourmand', 'Balsamic']",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
244,C1=CC=C(C=C1)CO,"['Flower', 'Chemicals', 'Fruity', 'Balsamic', 'Gourmand']",0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
261,CCCC=O,"['Alcohol', 'Chemicals', 'Fruity', 'Earthy', 'Savory', 'Gourmand', 'Green']",1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0
