CID,IsomericSMILES,Descriptors,Alcohol,Animal Body,Aquatic,Balsamic,Chemicals,Earthy,Flower,Fruity,Gourmand,Green,Herbal,Savory,Smoky,Spices,Sulfur,Woody
70,CC(C)CC(=O)C(=O)O,['Fruity'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,C1=CC(=C(C=C1C(=O)O)O)O,"['Chemicals', 'Balsamic']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
101,C1=CC(=CC(=C1)O)C=O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,C(CC(=O)O)CN,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,CC(C)CCC=O,"['Gourmand', 'Green', 'Savory', 'Fruity']",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
135,C1=CC(=CC=C1C(=O)O)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,C(CO)O,['Earthy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,CC=O,"['Alcohol', 'Chemicals', 'Fruity', 'Earthy']",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
179,CC(C(=O)C)O,"['Gourmand', 'Savory', 'Woody', 'Fruity']",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
180,CC(=O)C,"['Alcohol', 'Chemicals', 'Fruity']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
196,C(CCC(=O)O)CC(=O)O,['Herbal'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
222,N,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,C1=CC=C(C=C1)C(=O)O,"['Gourmand', 'Green', 'Balsamic']",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
244,C1=CC=C(C=C1)CO,"['Fruity', 'Chemicals', 'Balsamic', 'Gourmand', 'Flower']",0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
263,CCCCO,"['Fruity', 'Chemicals', 'Balsamic', 'Sulfur', 'Alcohol']",1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
280,C(=O)=O,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,C(=O)O,"['Alcohol', 'Fruity', 'Sulfur']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
289,C1=CC=C(C(=C1)O)O,"['Chemicals', 'Smoky']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
307,C1=CC=C(C=C1)C=CC=O,"['Gourmand', 'Spices', 'Chemicals', 'Balsamic']",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
323,C1=CC=C2C(=C1)C=CC(=O)O2,"['Gourmand', 'Green', 'Spices', 'Smoky']",0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
325,CC(C)C1=CC=C(C=C1)CO,"['Green', 'Woody', 'Spices']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
326,CC(C)C1=CC=C(C=C1)C=O,"['Woody', 'Spices', 'Green', 'Alcohol', 'Animal Body']",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
335,CC1=CC=CC=C1O,"['Animal Body', 'Chemicals', 'Flower', 'Green', 'Earthy']",0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
338,C1=CC=C(C(=C1)C(=O)O)O,"['Alcohol', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
356,CCCCCCCC,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
379,CCCCCCCC(=O)O,"['Fruity', 'Savory', 'Balsamic', 'Alcohol', 'Animal Body']",1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
441,CC(CC(=O)O)O,"['Savory', 'Fruity']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
460,COC1=CC=CC=C1O,"['Woody', 'Chemicals', 'Savory', 'Gourmand', 'Smoky', 'Spices']",0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
473,CSCCC(=O)C(=O)O,"['Savory', 'Sulfur']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
525,C(C(C(=O)O)O)C(=O)O,"['Gourmand', 'Alcohol']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
527,CCC=O,"['Woody', 'Fruity', 'Chemicals', 'Savory', 'Gourmand', 'Green', 'Alcohol', 'Earthy']",1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1
650,CC(=O)C(=O)C,"['Gourmand', 'Alcohol', 'Savory']",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
660,C1CC(=O)OC2=CC=CC=C21,"['Fruity', 'Savory', 'Spices', 'Balsamic', 'Gourmand', 'Smoky', 'Green']",0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0
674,CNC,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679,CS(=O)C,"['Savory', 'Earthy', 'Sulfur']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
768,C#N,"['Gourmand', 'Woody']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
785,C1=CC(=CC=C1O)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
798,C1=CC=C2C(=C1)C=CN2,"['Savory', 'Flower', 'Earthy', 'Smoky', 'Alcohol', 'Animal Body']",1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
875,C(C(C(=O)O)O)(C(=O)O)O,['Gourmand'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
878,CS,"['Chemicals', 'Savory', 'Sulfur', 'Gourmand', 'Alcohol']",1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
887,CO,"['Alcohol', 'Chemicals', 'Sulfur']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
957,CCCCCCCCO,"['Fruity', 'Chemicals', 'Savory', 'Balsamic', 'Flower', 'Smoky', 'Green', 'Earthy']",0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0
964,C(C(=O)C(=O)O)O,"['Gourmand', 'Savory', 'Smoky']",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
984,CCCCCCCCCCCCCCCC=O,"['Flower', 'Fruity', 'Savory', 'Balsamic']",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
989,CC1(COC(=O)C1O)C,"['Gourmand', 'Savory', 'Smoky']",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
996,C1=CC=C(C=C1)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
997,C1=CC=C(C=C1)CC(=O)C(=O)O,"['Chemicals', 'Gourmand', 'Smoky', 'Green', 'Alcohol']",1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
998,C1=CC=C(C=C1)CC=O,"['Fruity', 'Sulfur', 'Flower', 'Gourmand', 'Green', 'Earthy']",0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
1001,C1=CC=C(C=C1)CCN,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
