CID,IsomericSMILES,Descriptors,Alcohol,Animal Body,Aquatic,Balsamic,Chemicals,Earthy,Flower,Fruity,Gourmand,Green,Herbal,Savory,Smoky,Spices,Sulfur,Woody
4,CC(CN)O,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,CC(C)C(=O)C(=O)O,['Fruity'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,C1=CC(=C(C=C1C(=O)O)O)O,"['Chemicals', 'Balsamic']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
107,C1=CC=C(C=C1)CCC(=O)O,"['Savory', 'Spices', 'Flower', 'Balsamic', 'Animal Body']",0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
119,C(CC(=O)O)CN,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,C1=CC(=CC=C1CO)O,"['Fruity', 'Chemicals', 'Gourmand']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
129,CC(C)CCC=O,"['Fruity', 'Green', 'Savory', 'Gourmand']",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
135,C1=CC(=CC=C1C(=O)O)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,CC=O,"['Fruity', 'Earthy', 'Chemicals', 'Alcohol']",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
240,C1=CC=C(C=C1)C=O,"['Fruity', 'Smoky', 'Alcohol', 'Gourmand']",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
241,C1=CC=CC=C1,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
243,C1=CC=C(C=C1)C(=O)O,"['Green', 'Balsamic', 'Gourmand']",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
262,CC(C(C)O)O,"['Fruity', 'Savory', 'Gourmand']",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
263,CCCCO,"['Fruity', 'Chemicals', 'Balsamic', 'Sulfur', 'Alcohol']",1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
280,C(=O)=O,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,C1=CC=C(C(=C1)O)O,"['Chemicals', 'Smoky']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
308,C1=CC=C(C=C1)C=CCO,"['Spices', 'Flower', 'Green', 'Balsamic', 'Sulfur']",0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
326,CC(C)C1=CC=C(C=C1)C=O,"['Green', 'Woody', 'Spices', 'Alcohol']",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
338,C1=CC=C(C(=C1)C(=O)O)O,"['Chemicals', 'Alcohol']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
342,CC1=CC(=CC=C1)O,"['Chemicals', 'Woody']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
356,CCCCCCCC,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
379,CCCCCCCC(=O)O,"['Savory', 'Fruity', 'Balsamic', 'Animal Body', 'Alcohol']",1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
402,S,['Sulfur'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
441,CC(CC(=O)O)O,"['Fruity', 'Savory']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
