CID,IsomericSMILES,Descriptors,Alcohol,Animal Body,Aquatic,Balsamic,Chemicals,Earthy,Flower,Fruity,Gourmand,Green,Herbal,Savory,Smoky,Spices,Sulfur,Woody
70,CC(C)CC(=O)C(=O)O,['Fruity'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,C1=CC(=C(C=C1C(=O)O)O)O,"['Chemicals', 'Balsamic']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
126,C1=CC(=CC=C1C=O)O,"['Woody', 'Gourmand', 'Chemicals', 'Balsamic']",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
135,C1=CC(=CC=C1C(=O)O)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,CC(=O)O,"['Alcohol', 'Savory']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179,CC(C(=O)C)O,"['Fruity', 'Gourmand', 'Woody', 'Savory']",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
240,C1=CC=C(C=C1)C=O,"['Fruity', 'Gourmand', 'Smoky', 'Alcohol']",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
243,C1=CC=C(C=C1)C(=O)O,"['Green', 'Gourmand', 'Balsamic']",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
261,CCCC=O,"['Earthy', 'Green', 'Gourmand', 'Savory', 'Alcohol', 'Chemicals', 'Fruity']",1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0
264,CCCC(=O)O,"['Alcohol', 'Animal Body', 'Savory', 'Fruity']",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
284,C(=O)O,"['Alcohol', 'Sulfur', 'Fruity']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
307,C1=CC=C(C=C1)C=CC=O,"['Gourmand', 'Chemicals', 'Balsamic', 'Spices']",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
323,C1=CC=C2C(=C1)C=CC(=O)O2,"['Gourmand', 'Green', 'Smoky', 'Spices']",0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
325,CC(C)C1=CC=C(C=C1)CO,"['Green', 'Woody', 'Spices']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
332,COC1=C(C=CC(=C1)C=C)O,"['Smoky', 'Spices', 'Chemicals', 'Woody', 'Balsamic']",0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
335,CC1=CC=CC=C1O,"['Flower', 'Earthy', 'Green', 'Chemicals', 'Animal Body']",0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
338,C1=CC=C(C(=C1)C(=O)O)O,"['Alcohol', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
342,CC1=CC(=CC=C1)O,"['Woody', 'Chemicals']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
379,CCCCCCCC(=O)O,"['Savory', 'Alcohol', 'Fruity', 'Animal Body', 'Balsamic']",1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
402,S,['Sulfur'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
525,C(C(C(=O)O)O)C(=O)O,"['Alcohol', 'Gourmand']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,"['Flower', 'Chemicals']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
650,CC(=O)C(=O)C,"['Alcohol', 'Gourmand', 'Savory']",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
660,C1CC(=O)OC2=CC=CC=C21,"['Gourmand', 'Green', 'Savory', 'Smoky', 'Spices', 'Fruity', 'Balsamic']",0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0
670,C(C(=O)CO)O,['Herbal'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
674,CNC,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679,CS(=O)C,"['Earthy', 'Sulfur', 'Savory']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
702,CCO,"['Alcohol', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
798,C1=CC=C2C(=C1)C=CN2,"['Flower', 'Earthy', 'Smoky', 'Alcohol', 'Animal Body']",1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
875,C(C(C(=O)O)O)(C(=O)O)O,['Gourmand'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
878,CS,"['Alcohol', 'Gourmand', 'Sulfur', 'Savory']",1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
887,CO,"['Alcohol', 'Sulfur', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
931,C1=CC=C2C=CC=CC2=C1,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,C(C(=O)C(=O)O)O,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
980,C1=CC(=CC=C1[N+](=O)[O-])O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
985,CCCCCCCCCCCCCCCC(=O)O,"['Green', 'Savory', 'Balsamic', 'Gourmand']",0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
996,C1=CC=C(C=C1)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
997,C1=CC=C(C=C1)CC(=O)C(=O)O,"['Green', 'Alcohol', 'Gourmand', 'Chemicals']",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
999,C1=CC=C(C=C1)CC(=O)O,"['Flower', 'Gourmand', 'Smoky', 'Savory', 'Animal Body', 'Balsamic']",0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0
1031,CCCO,"['Alcohol', 'Earthy', 'Sulfur', 'Fruity']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1032,CCC(=O)O,"['Alcohol', 'Savory']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1045,C(CCN)CN,"['Animal Body', 'Aquatic']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,C1=CC=NC=C1,"['Smoky', 'Savory', 'Aquatic']",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1060,CC(=O)C(=O)O,"['Alcohol', 'Gourmand', 'Savory']",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1068,CSC,"['Green', 'Gourmand', 'Savory', 'Sulfur', 'Aquatic', 'Fruity']",0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0
1103,C(CCNCCCN)CNCCCN,"['Fruity', 'Flower']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1119,O=S=O,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,C(C(=O)O)S,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1140,CC1=CC=CC=C1,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,CC(C)C(C(=O)O)N,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
