CID,IsomericSMILES,Descriptors,Descriptor Count,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
49,CC(C)C(=O)C(=O)O,['fruity'],1,0,0,0,0,0,1,0,0,0,0,0
58,CCC(=O)C(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
70,CC(C)CC(=O)C(=O)O,['fruity'],1,0,0,0,0,0,1,0,0,0,0,0
98,C(C(=O)C(=O)O)S,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
107,C1=CC=C(C=C1)CCC(=O)O,"['animal', 'flower', 'savory', 'spices']",4,0,1,0,0,1,0,0,0,1,1,0
119,C(CC(=O)O)CN,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
125,C1=CC(=CC=C1CO)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
126,C1=CC(=CC=C1C=O)O,"['herbal', 'aquatic', 'savory']",3,0,0,1,0,0,0,0,1,1,0,0
129,CC(C)CCC=O,"['herbal', 'savory', 'fruity']",3,0,0,0,0,0,1,0,1,1,0,0
135,C1=CC(=CC=C1C(=O)O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
174,C(CO)O,['animal'],1,0,1,0,0,0,0,0,0,0,0,0
176,CC(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
177,CC=O,"['animal', 'fruity', 'aquatic', 'alcohol', 'savory']",5,1,1,1,0,0,1,0,0,1,0,0
179,CC(C(=O)C)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
180,CC(=O)C,"['aquatic', 'fruity']",2,0,0,1,0,0,1,0,0,0,0,0
196,C(CCC(=O)O)CC(=O)O,['herbal'],1,0,0,0,0,0,0,0,1,0,0,0
240,C1=CC=C(C=C1)C=O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
241,C1=CC=CC=C1,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
243,C1=CC=C(C=C1)C(=O)O,"['herbal', 'savory']",2,0,0,0,0,0,0,0,1,1,0,0
244,C1=CC=C(C=C1)CO,"['flower', 'savory', 'fruity']",3,0,0,0,0,1,1,0,0,1,0,0
261,CCCC=O,"['animal', 'green', 'savory', 'fruity']",4,0,1,0,0,0,1,1,0,1,0,0
262,CC(C(C)O)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
263,CCCCO,"['alcohol', 'savory', 'fruity']",3,1,0,0,0,0,1,0,0,1,0,0
264,CCCC(=O)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
284,C(=O)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
289,C1=CC=C(C(=C1)O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
307,C1=CC=C(C=C1)C=CC=O,"['savory', 'spices']",2,0,0,0,0,0,0,0,0,1,1,0
308,C1=CC=C(C=C1)C=CCO,"['savory', 'flower', 'green', 'spices']",4,0,0,0,0,1,0,1,0,1,1,0
309,C(C(=CC(=O)O)C(=O)O)C(=O)O,"['animal', 'savory']",2,0,1,0,0,0,0,0,0,1,0,0
323,C1=CC=C2C(=C1)C=CC(=O)O2,"['herbal', 'green', 'savory']",3,0,0,0,0,0,0,1,1,1,0,0
325,CC(C)C1=CC=C(C=C1)CO,['herbal'],1,0,0,0,0,0,0,0,1,0,0,0
326,CC(C)C1=CC=C(C=C1)C=O,"['animal', 'herbal', 'green', 'savory']",4,0,1,0,0,0,0,1,1,1,0,0
332,COC1=C(C=CC(=C1)C=C)O,"['savory', 'spices']",2,0,0,0,0,0,0,0,0,1,1,0
335,CC1=CC=CC=C1O,"['animal', 'herbal', 'flower']",3,0,1,0,0,1,0,0,1,0,0,0
338,C1=CC=C(C(=C1)C(=O)O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
379,CCCCCCCC(=O)O,"['animal', 'savory', 'fruity']",3,0,1,0,0,0,1,0,0,1,0,0
402,S,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
441,CC(CC(=O)O)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
454,CCCCCCCC=O,"['herbal', 'green', 'fruity', 'aquatic', 'savory']",5,0,0,1,0,0,1,1,1,1,0,0
460,COC1=CC=CC=C1O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
473,CSCCC(=O)C(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
525,C(C(C(=O)O)O)C(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
527,CCC=O,"['green', 'earthy', 'fruity', 'aquatic', 'alcohol', 'savory']",6,1,0,1,1,0,1,1,0,1,0,0
563,CSCCC(=O)O,"['green', 'savory', 'fruity']",3,0,0,0,0,0,1,1,0,1,0,0
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,['flower'],1,0,0,0,0,1,0,0,0,0,0,0
612,CC(C(=O)O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
650,CC(=O)C(=O)C,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
660,C1CC(=O)OC2=CC=CC=C21,"['herbal', 'spices', 'savory', 'fruity']",4,0,0,0,0,0,1,0,1,1,1,0
670,C(C(=O)CO)O,"['herbal', 'fruity']",2,0,0,0,0,0,1,0,1,0,0,0
679,CS(=O)C,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
701,CCOC(=O)C(C)C(=O)C,"['green', 'alcohol', 'fruity']",3,1,0,0,0,0,1,1,0,0,0,0
702,CCO,"['aquatic', 'alcohol']",2,1,0,1,0,0,0,0,0,0,0,0
768,C#N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
784,OO,['aquatic'],1,0,0,1,0,0,0,0,0,0,0,0
798,C1=CC=C2C(=C1)C=CN2,"['animal', 'flower', 'savory']",3,0,1,0,0,1,0,0,0,1,0,0
875,C(C(C(=O)O)O)(C(=O)O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
876,CSCCC(C(=O)O)N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
878,CS,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
880,CC(=O)C=O,"['aquatic', 'alcohol', 'savory']",3,1,0,1,0,0,0,0,0,1,0,0
887,CO,"['aquatic', 'alcohol']",2,1,0,1,0,0,0,0,0,0,0,0
931,C1=CC=C2C=CC=CC2=C1,['herbal'],1,0,0,0,0,0,0,0,1,0,0,0
957,CCCCCCCCO,"['green', 'flower', 'fruity', 'aquatic', 'savory']",5,0,0,1,0,1,1,1,0,1,0,0
964,C(C(=O)C(=O)O)O,"['green', 'savory']",2,0,0,0,0,0,0,1,0,1,0,0
984,CCCCCCCCCCCCCCCC=O,"['flower', 'fruity']",2,0,0,0,0,1,1,0,0,0,0,0
985,CCCCCCCCCCCCCCCC(=O)O,['green'],1,0,0,0,0,0,0,1,0,0,0,0
989,CC1(COC(=O)C1O)C,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
994,C1=CC=C(C=C1)CC(C(=O)O)N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
997,C1=CC=C(C=C1)CC(=O)C(=O)O,"['green', 'savory']",2,0,0,0,0,0,0,1,0,1,0,0
998,C1=CC=C(C=C1)CC=O,"['green', 'flower', 'earthy', 'fruity', 'savory']",5,0,0,0,1,1,1,1,0,1,0,0
999,C1=CC=C(C=C1)CC(=O)O,"['animal', 'herbal', 'flower', 'savory']",4,0,1,0,0,1,0,0,1,1,0,0
1031,CCCO,"['animal', 'alcohol', 'savory', 'fruity']",4,1,1,0,0,0,1,0,0,1,0,0
1032,CCC(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
1045,C(CCN)CN,['animal'],1,0,1,0,0,0,0,0,0,0,0,0
1049,C1=CC=NC=C1,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
1060,CC(=O)C(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
1068,CSC,"['green', 'savory', 'fruity']",3,0,0,0,0,0,1,1,0,1,0,0
1103,C(CCNCCCN)CNCCCN,"['herbal', 'fruity']",2,0,0,0,0,0,1,0,1,0,0,0
1127,C1CCSC1,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
1133,C(C(=O)O)S,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
1136,CC1=C(SC=N1)CCO,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
1146,CN(C)C,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
1183,COC1=C(C=CC(=C1)C=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
1213,CC1CCCC2(C1(CCCC2)O)C,"['aquatic', 'earthy', 'fruity']",3,0,0,1,1,0,1,0,0,0,0,0
1254,CC1CCC(C(C1)O)C(C)C,"['animal', 'herbal', 'aquatic']",3,0,1,1,0,0,0,0,1,0,0,0
1567,C(CS)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
